;Raumeinheit;GliederungSort;Gliederung;Zimmer;GemeinnuetzigSort;GemeinnuetzigLang;EinheitSort;EinheitLang;mean;Grundgesamtheit;Sample1;Sample2
1748;Quartiere;101;Höngg;3;0;Alle Wohnungen;1;Wohnung;1830.0;3684;1384;60
1749;Quartiere;102;Wipkingen;3;0;Alle Wohnungen;1;Wohnung;1659.0;3400;972;66
1750;Quartiere;111;Affoltern;3;0;Alle Wohnungen;1;Wohnung;1590.0;3906;1685;84
1751;Quartiere;115;Oerlikon;3;0;Alle Wohnungen;1;Wohnung;1904.0;3976;977;68
1752;Quartiere;119;Seebach;3;0;Alle Wohnungen;1;Wohnung;1702.0;4067;1363;77
1753;Quartiere;121;Saatlen;3;0;Alle Wohnungen;1;Wohnung;1349.0;1111;637;47
1754;Quartiere;122;Schwamendingen-Mitte;3;0;Alle Wohnungen;1;Wohnung;1407.0;2340;706;84
1755;Quartiere;123;Hirzenbach;3;0;Alle Wohnungen;1;Wohnung;1369.0;2414;1265;51
1757;Quartiere;11;Rathaus;4;0;Alle Wohnungen;1;Wohnung;2953.0;221;70;30
1758;Quartiere;12;Hochschulen;4;0;Alle Wohnungen;1;Wohnung;3406.0;54;18;15
1759;Quartiere;13;Lindenhof;4;0;Alle Wohnungen;1;Wohnung;2877.0;104;29;20
1760;Quartiere;14;City;4;0;Alle Wohnungen;1;Wohnung;2442.0;80;43;15
1761;Quartiere;21;Wollishofen;4;0;Alle Wohnungen;1;Wohnung;2232.0;1977;599;71
1762;Quartiere;23;Leimbach;4;0;Alle Wohnungen;1;Wohnung;1851.0;713;400;37
1763;Quartiere;24;Enge;4;0;Alle Wohnungen;1;Wohnung;3000.0;1030;231;58
1764;Quartiere;31;Alt-Wiedikon;4;0;Alle Wohnungen;1;Wohnung;2402.0;1289;276;55
1765;Quartiere;33;Friesenberg;4;0;Alle Wohnungen;1;Wohnung;1681.0;1286;913;57
1766;Quartiere;34;Sihlfeld;4;0;Alle Wohnungen;1;Wohnung;2051.0;1611;256;73
1767;Quartiere;41;Werd;4;0;Alle Wohnungen;1;Wohnung;2596.0;448;70;50
1768;Quartiere;42;Langstrasse;4;0;Alle Wohnungen;1;Wohnung;2392.0;858;124;48
1769;Quartiere;44;Hard;4;0;Alle Wohnungen;1;Wohnung;1741.0;890;470;49
1770;Quartiere;51;Gewerbeschule;4;0;Alle Wohnungen;1;Wohnung;1947.0;889;304;36
1771;Quartiere;52;Escher Wyss;4;0;Alle Wohnungen;1;Wohnung;2902.0;499;181;33
1772;Quartiere;61;Unterstrass;4;0;Alle Wohnungen;1;Wohnung;2206.0;2442;823;74
1773;Quartiere;63;Oberstrass;4;0;Alle Wohnungen;1;Wohnung;2705.0;1067;201;60
1774;Quartiere;71;Fluntern;4;0;Alle Wohnungen;1;Wohnung;3052.0;744;143;37
1775;Quartiere;72;Hottingen;4;0;Alle Wohnungen;1;Wohnung;2964.0;1094;147;71
1776;Quartiere;73;Hirslanden;4;0;Alle Wohnungen;1;Wohnung;2386.0;763;79;45
1777;Quartiere;74;Witikon;4;0;Alle Wohnungen;1;Wohnung;2443.0;1161;240;49
1778;Quartiere;81;Seefeld;4;0;Alle Wohnungen;1;Wohnung;3088.0;549;121;39
1779;Quartiere;82;Mühlebach;4;0;Alle Wohnungen;1;Wohnung;3088.0;576;188;31
1780;Quartiere;83;Weinegg;4;0;Alle Wohnungen;1;Wohnung;2399.0;512;91;34
1781;Quartiere;91;Albisrieden;4;0;Alle Wohnungen;1;Wohnung;2151.0;2273;841;67
1782;Quartiere;92;Altstetten;4;0;Alle Wohnungen;1;Wohnung;2045.0;3054;973;62
1783;Quartiere;101;Höngg;4;0;Alle Wohnungen;1;Wohnung;2213.0;2593;994;62
1784;Quartiere;102;Wipkingen;4;0;Alle Wohnungen;1;Wohnung;2082.0;1399;379;63
1785;Quartiere;111;Affoltern;4;0;Alle Wohnungen;1;Wohnung;1801.0;2934;1353;84
1786;Quartiere;115;Oerlikon;4;0;Alle Wohnungen;1;Wohnung;2070.0;2132;721;61
1787;Quartiere;119;Seebach;4;0;Alle Wohnungen;1;Wohnung;1971.0;2444;993;82
1788;Quartiere;121;Saatlen;4;0;Alle Wohnungen;1;Wohnung;1520.0;1161;654;34
1789;Quartiere;122;Schwamendingen-Mitte;4;0;Alle Wohnungen;1;Wohnung;1745.0;814;248;54
1790;Quartiere;123;Hirzenbach;4;0;Alle Wohnungen;1;Wohnung;1677.0;1236;678;57
